1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
27,'Minnesota',27054          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1969,6989,'Steel Continuous','Stringer/Multi-beam or Girder',4,249.3,'TH 7                    ','CSAH 60           ','Fair',56,19060.7
27,'Minnesota',91868          ,'Town or Township Highway Agency','139','Scott County','58324','0','No Place Code',1985,25,'Concrete','Culvert',2,33.1,'PORTER CREEK            ','T 172             ','Good',40,793.6
27,'Minnesota',07592          ,'County Highway Agency','013','Blue Earth County','40328','0','No Place Code',2013,248,'Prestressed Concrete','Box Beam or Girders - Multiple',1,67.3,'MAPLE RIVER             ','CSAH 46           ','Fair',12,2493.5
27,'Minnesota',70545          ,'County Highway Agency','139','Scott County','28322','0','No Place Code',2010,1100,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,102.4,'SAND CREEK              ','CSAH 8            ','Good',15,4836
27,'Minnesota',70013          ,'State Highway Agency','139','Scott County','59350','59350','Shakopee city',1995,2950,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,215.6,'US 169                  ','CR 79             ','Fair',30,9971.4
27,'Minnesota',22563          ,'Town or Township Highway Agency','043','Faribault County','19016','0','No Place Code',1989,35,'Wood or Timber','Slab',3,96.1,'BLUE EARTH RIVER        ','T 7               ','Fair',36,2870
27,'Minnesota',27138          ,'State Highway Agency','053','Hennepin County','18116','18116','Eden Prairie city',1999,10760,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,269.7,'US 212                  ','CSAH 4            ','Good',26,27871
27,'Minnesota',27V40          ,'State Highway Agency','053','Hennepin County','7966','0','No Place Code',2001,52204,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,115.2,'W Broadway (CSAH8)      ','I 94              ','Good',24,7745.2
27,'Minnesota',27V39          ,'State Highway Agency','053','Hennepin County','7966','0','No Place Code',2001,56000,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,115.2,'W Broadway (CSAH 8)     ','I 94              ','Good',24,8311.9
27,'Minnesota',92700          ,'County Highway Agency','017','Carlton County','39464','39446','Mahtowa CDP',1970,814,'Concrete','Culvert',2,29.5,'MOOSE HORN RIVER        ','CSAH 4            ','Fair',55,1065.6
27,'Minnesota',22557          ,'Town or Township Highway Agency','043','Faribault County','38528','0','No Place Code',1981,36,'Wood or Timber','Slab',3,71.9,'CO DITCH # 3            ','T 154             ','Fair',44,2145.1
27,'Minnesota',07568          ,'Town or Township Highway Agency','013','Blue Earth County','41498','0','No Place Code',1993,29,'Concrete Continuous','Slab',3,117.1,'LITTLE COBB RIVER       ','T 339             ','Good',32,3650.6
27,'Minnesota',22589          ,'Town or Township Highway Agency','043','Faribault County','19016','0','No Place Code',1995,47,'Concrete Continuous','Slab',3,101,'BLUE EARTH RIVER        ','T 234             ','Good',30,3149.5
27,'Minnesota',09820          ,'State Highway Agency','017','Carlton County','3646','0','No Place Code',1968,2400,'Prestressed Concrete','Stringer/Multi-beam or Girder',4,220.5,'I 35                    ','CSAH 6            ','Fair',57,7739.7
27,'Minnesota',22J12          ,'County Highway Agency','043','Faribault County','6706','0','No Place Code',2005,1382,'Concrete','Culvert',2,25.6,'CO DITCH #14            ','CSAH 16           ','Good',20,1024.3
27,'Minnesota',27V60          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',2005,25000,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,204.7,'I 494                   ','MN 7              ','Good',20,11351.2
27,'Minnesota',27576          ,'County Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1977,8733,'Steel Continuous','Frame',3,167.3,'BNSF RR                 ','CSAH 61           ','Fair',48,6752.2
27,'Minnesota',27V59          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',2005,23500,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,204.7,'I 494                   ','MN 7              ','Good',20,11351.2
27,'Minnesota',93375          ,'County Highway Agency','137','St. Louis County','30932','0','No Place Code',1978,30,'Concrete','Culvert',2,25.6,'BEAR TRAP RIVER         ','CR 872            ','Fair',47,612.9
27,'Minnesota',70J61          ,'Town or Township Highway Agency','139','Scott County','28322','0','No Place Code',2015,61,'Concrete','Culvert',3,48.6,'W BR RAVEN STREAM       ','T 179             ','Good',10,1354.1
27,'Minnesota',58J03          ,'Town or Township Highway Agency','115','Pine County','51784','0','No Place Code',2000,109,'Concrete','Culvert',2,29.9,'MISSION CREEK           ','T 174             ','Good',25,773.8
27,'Minnesota',27551          ,'State Highway Agency','053','Hennepin County','51730','51730','Plymouth city',1972,22700,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,191.9,'US 169                  ','CSAH 9            ','Poor',51,19646.3
27,'Minnesota',58546          ,'Town or Township Highway Agency','115','Pine County','51784','0','No Place Code',2003,201,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,56.1,'MISSION CREEK           ','T 48              ','Good',22,1748.6
27,'Minnesota',27629          ,'City or Municipal Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1980,524,'Concrete','Slab',1,44.9,'MINNEHAHA CREEK         ','M 206             ','Good',45,1415.7
27,'Minnesota',02539          ,'County Highway Agency','003','Anoka County','1486','0','No Place Code',1982,15741,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,66.6,'COON CREEK              ','CSAH 78           ','Fair',43,4763.5
27,'Minnesota',27223          ,'State Highway Agency','053','Hennepin County','7966','0','No Place Code',1999,17792,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,219.8,'TH 610                  ','CSAH 14           ','Fair',26,25818.3
27,'Minnesota',27A01          ,'County Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1993,7234,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,177.2,'CSAH 62                 ','CSAH 4            ','Fair',32,11741.3
27,'Minnesota',58507          ,'County Highway Agency','115','Pine County','51784','0','No Place Code',1967,561,'Wood or Timber','Slab',3,54.1,'MISSION CREEK           ','CSAH 14           ','Poor',58,1740.5
27,'Minnesota',91010          ,'State Highway Agency','115','Pine County','43486','0','No Place Code',1964,8848,'Concrete','Culvert',3,33.5,'MISSION CREEK           ','I 35              ','Good',61,1240.6
27,'Minnesota',27633          ,'County Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1981,8733,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,49.5,'MINNEHAHA CREEK         ','CSAH 61           ','Fair',44,3283.2
