1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',ELO            ,'City or Municipal Highway Agency','013','Fremont County','21415','21415','Dubois town',1935,263,'Steel','Truss - Thru',1,103,'Big Wind River          ','3rd Street        ','Fair',87,2163.1
56,'Wyoming',FJZ            ,'City or Municipal Highway Agency','013','Fremont County','21415','21415','Dubois town',1937,433,'Steel','Truss - Thru',1,104,'Horse Creek             ','Clendenning Street','Fair',85,3275.7
56,'Wyoming',LWI            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',1990,60,'Steel','Culvert',1,21.7,'Duck Creek              ','Sb Cnty Rd 204    ','Good',35,561.2
56,'Wyoming',LBY            ,'State Highway Agency','029','Park County','0','0','No Place Code',2002,2043,'Steel Continuous','Stringer/Multi-beam or Girder',3,137.8,'Big Sand Coulee         ','WYO 120           ','Fair',23,5877.1
56,'Wyoming',ETC            ,'County Highway Agency','023','Lincoln County','0','0','No Place Code',1978,28,'Steel','Stringer/Multi-beam or Girder',2,242.1,'Green River             ','Ln Cnty Rd 318    ','Fair',47,3415.8
56,'Wyoming',LRT            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',2003,60,'Steel','Stringer/Multi-beam or Girder',1,40,'Duck Creek              ','Sb Cnty Rd 190    ','Fair',22,1037.4
56,'Wyoming',FFP            ,'State Highway Agency','023','Lincoln County','0','0','No Place Code',1985,743,'Steel Continuous','Stringer/Multi-beam or Girder',3,100.1,'Muddy Creek             ','US 189            ','Fair',40,4300.7
56,'Wyoming',KID            ,'County Highway Agency','029','Park County','0','0','No Place Code',1994,186,'Concrete Continuous','Culvert',2,27.6,'Big Sand Coulee         ','Pa Cnty Rd 8VE    ','Good',31,714.3
56,'Wyoming',FHT            ,'City or Municipal Highway Agency','013','Fremont County','21415','21415','Dubois town',1988,1516,'Steel Continuous','Stringer/Multi-beam or Girder',2,102,'Big Wind River          ','Mickel Drive      ','Fair',34,1707.3
56,'Wyoming',ANJ            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1959,7049,'Concrete Continuous','Slab',3,80.1,'Ui CR 202(Bigelow Bench)','I-80 EBL          ','Fair',66,3283
