1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',CWH            ,'State Highway Agency','041','Uinta County','66655','66655','Robertson CDP',1960,177,'Concrete Continuous','Culvert',2,20.7,'Willow Creek            ','WYO 410           ','Fair',65,576.4
56,'Wyoming',CGP            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1966,763,'Steel Continuous','Stringer/Multi-beam or Girder',3,140.1,'Blacks Fork River       ','WYO 411           ','Fair',59,4366.4
56,'Wyoming',021402000001028,'U.S. Forest Service','029','Park County','0','0','No Place Code',1981,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,24,'WILLOW CREEK            ','FDR               ','Fair',44,385
56,'Wyoming',JLZ            ,'State Highway Agency','029','Park County','0','0','No Place Code',1995,1436,'Concrete','Culvert',3,41,'Cody Canal              ','WYO 291           ','Good',30,1722.2
56,'Wyoming',BJY            ,'State Highway Agency','041','Uinta County','27940','27940','Fort Bridger CDP',1961,4364,'Concrete Continuous','Culvert',2,20.7,'Groshon Creek           ','I-80 Bus          ','Good',64,1071.4
56,'Wyoming',FLL            ,'State Highway Agency','029','Park County','0','0','No Place Code',1989,1342,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,86.9,'Cottonwood Creek        ','WYO 120           ','Fair',36,3736.7
56,'Wyoming',MEM            ,'County Highway Agency','041','Uinta County','0','27940','Fort Bridger CDP',2013,73,'Steel Continuous','Stringer/Multi-beam or Girder',3,115.2,'Blacks Fork River       ','Ui Cnty Rd 221    ','Good',12,3362.5
56,'Wyoming',LRC            ,'State Highway Agency','041','Uinta County','27940','27940','Fort Bridger CDP',2006,2870,'Concrete Continuous','Culvert',2,20.7,'Little Blacks Fork River','I-80 Bus          ','Good',19,834.1
56,'Wyoming',      WYA-S-002,'Bureau of Reclamation','029','Park County','0','0','No Place Code',1924,100,'Concrete','Arch - Deck',1,159.4,'Shoshone River          ','Hayden Arch Road  ','Poor',101,3661.9
56,'Wyoming',EUT            ,'State Highway Agency','013','Fremont County','0','0','No Place Code',1983,1566,'Steel Continuous','Stringer/Multi-beam or Girder',2,91.5,'South Fork Torrey Creek ','US 26             ','Good',42,3904.1
56,'Wyoming',EUU            ,'State Highway Agency','013','Fremont County','0','0','No Place Code',1983,1566,'Steel','Stringer/Multi-beam or Girder',1,49.9,'North Fork Torrey Creek ','US 26             ','Good',42,2126.9
56,'Wyoming',ANO            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1969,6947,'Concrete Continuous','Tee Beam',3,76.1,'Ui County Road 221      ','I-80 EBL          ','Fair',56,3096.6
56,'Wyoming',ANP            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1969,6567,'Concrete Continuous','Tee Beam',3,76.1,'Ui County Road 223      ','I-80 WBL          ','Good',56,3096.6
56,'Wyoming',LQU            ,'State Highway Agency','041','Uinta County','27940','0','No Place Code',2006,2870,'Steel Continuous','Stringer/Multi-beam or Girder',3,140.1,'Blacks Fork River       ','I-80 Bus          ','Fair',19,7537.7
56,'Wyoming',ENJ            ,'County Highway Agency','035','Sublette County','0','0','No Place Code',1940,40,'Steel','Other Main Design /Construction OR No Approach or Second Span Type',6,251,'New Fork River          ','Sb Cnty Rd 175    ','Poor',85,3787.8
56,'Wyoming',BZT            ,'State Highway Agency','029','Park County','0','0','No Place Code',1960,2431,'Steel Continuous','Stringer/Multi-beam or Girder',3,594.2,'Shoshone River          ','US 14             ','Fair',65,25731.3
56,'Wyoming',FJA            ,'State Highway Agency','029','Park County','0','0','No Place Code',1961,803,'Concrete Continuous','Culvert',2,20.7,'Unnamed Draw            ','WYO 294           ','Good',64,576.4
56,'Wyoming',FCV            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1984,73,'Steel','Other Main Design /Construction OR No Approach or Second Span Type',1,54.1,'Blacks Fork River       ','Ui Cnty Rd 261    ','Fair',41,1189.9
56,'Wyoming',FLM            ,'State Highway Agency','029','Park County','0','0','No Place Code',1989,1342,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,145,'Cottonwood Creek        ','WYO 120           ','Fair',36,6232.5
56,'Wyoming',FCU            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1984,73,'Steel','Other Main Design /Construction OR No Approach or Second Span Type',1,43,'Chapman Creek           ','Ui Cnty Rd 261    ','Fair',41,1029.4
56,'Wyoming',FOP            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1985,73,'Steel','Other Main Design /Construction OR No Approach or Second Span Type',1,54.1,'Ingersol Wash           ','Ui Cnty Rd 261    ','Fair',40,1385.3
