1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
38,'North Dakota',000000052138260,'County Highway Agency','103','Wells County','0','0','No Place Code',1995,10,'Concrete','Culvert',3,37.1,'PIPESTEM CREEK          ','COUNTY HIGHWAY    ','Good',30,1033.9
38,'North Dakota',000000014107090,'County Highway Agency','027','Eddy County','0','0','No Place Code',1988,20,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,94.2,'N ROCKFORD CANAL NR2-7  ','COUNTY HIGHWAY    ','Good',37,2873
38,'North Dakota',000000024105210,'County Highway Agency','047','Logan County','0','0','No Place Code',1967,24,'Prestressed Concrete','Box Beam or Girders - Single or Spread',1,60,'BEAVER CREEK            ','75TH ST SE        ','Fair',58,2048.6
38,'North Dakota',000000036119050,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1990,50,'Prestressed Concrete','Tee Beam',1,42,'STARKWEATHER COULEE     ','COUNTY HIGHWAY    ','Good',35,1350.2
38,'North Dakota',000000024106170,'County Highway Agency','047','Logan County','0','0','No Place Code',1940,5,'Steel','Stringer/Multi-beam or Girder',1,28.2,'BEAVER CREEK            ','30TH AVE SE       ','Poor',85,536.9
38,'North Dakota',000000036114180,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1984,20,'Prestressed Concrete','Box Beam or Girders - Multiple',1,58.1,'MORRISON OVERFLOW CHAN  ','COUNTY HIGHWAY    ','Fair',41,1752.8
38,'North Dakota',000000010117120,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1998,25,'Steel','Culvert',3,27.9,'CREEK                   ','COUNTY HIGHWAY    ','Fair',27,503.2
38,'North Dakota',0094217145     ,'State Highway Agency','043','Kidder County','0','0','No Place Code',1958,100,'Prestressed Concrete','Stringer/Multi-beam or Girder',4,224.1,'I 94/PETTIBONE INTERCHG ','COUNTY HIGHWAY    ','Fair',67,6469.5
38,'North Dakota',000000024105180,'County Highway Agency','047','Logan County','0','0','No Place Code',1988,24,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',2,102,'BEAVER CREEK            ','72ND ST SE        ','Good',37,3113.2
38,'North Dakota',0281139627     ,'State Highway Agency','027','Eddy County','0','0','No Place Code',1984,1250,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',3,109.9,'SHEYENNE RIVER          ','IRRFT US HIWAY 281','Good',41,4255
38,'North Dakota',000000015129460,'County Highway Agency','029','Emmons County','0','0','No Place Code',1957,24,'Concrete','Tee Beam',1,24.9,'CREEK                   ','18TH AVE SE       ','Fair',68,711.7
38,'North Dakota',000000015133350,'County Highway Agency','029','Emmons County','0','0','No Place Code',1978,24,'Concrete','Culvert',3,35.1,'S Branch Beaver Creek   ','89th St SE        ','Good',47,979
38,'North Dakota',000000014105090,'County Highway Agency','027','Eddy County','0','0','No Place Code',1989,20,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,94.2,'N ROCKFORD CANAL NR2-6  ','COUNTY HIGHWAY    ','Good',36,2873
38,'North Dakota',000000036113180,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1980,20,'Prestressed Concrete','Box Beam or Girders - Multiple',1,62,'COULEE                  ','COUNTY HIGHWAY    ','Fair',45,1871.6
38,'North Dakota',000000036111270,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1979,50,'Prestressed Concrete','Tee Beam',1,49.9,'CHANNEL A               ','COUNTY HIGHWAY    ','Good',46,1488.9
38,'North Dakota',0003058436     ,'State Highway Agency','047','Logan County','55420','55420','Napoleon city',1983,700,'Concrete','Culvert',3,33.8,'MCKENNA COULEE          ','ND HIGHWAY 3      ','Good',42,1419.1
38,'North Dakota',000000024103220,'County Highway Agency','047','Logan County','0','0','No Place Code',1984,25,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',2,94.2,'BEAVER CREEK            ','76TH ST SE        ','Good',41,2780.3
38,'North Dakota',0002262330  L  ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',2005,2750,'Prestressed Concrete Continuous','Stringer/Multi-beam or Girder',1,100.1,'CHANNEL A               ','US HIGHWAY 2      ','Fair',20,4267.9
38,'North Dakota',0002262330  R  ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',2005,2750,'Prestressed Concrete Continuous','Stringer/Multi-beam or Girder',1,100.1,'CHANNEL A               ','US HIGHWAY 2      ','Fair',20,4267.9
38,'North Dakota',000000010117100,'County Highway Agency','019','Cavalier County','0','0','No Place Code',2015,26,'Concrete','Culvert',3,32.2,'CREEK                   ','COUNTY HIGHWAY    ','Good',10,516.9
38,'North Dakota',000000014104110,'County Highway Agency','027','Eddy County','0','0','No Place Code',1940,10,'Steel','Stringer/Multi-beam or Girder',1,36.1,'JAMES RIVER             ','COUNTY HIGHWAY    ','Poor',85,722.3
38,'North Dakota',0019148200     ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',2001,1320,'Prestressed Concrete Continuous','Stringer/Multi-beam or Girder',3,234.9,'SIX MILE BAY            ','ND HIGHWAY 19     ','Good',24,10019
38,'North Dakota',000000024102240,'County Highway Agency','047','Logan County','0','0','No Place Code',1996,40,'Prestressed Concrete','Box Beam or Girders - Single or Spread',2,91.9,'BEAVER CREEK            ','26TH AVE SE       ','Good',29,2802.9
